#lo_ghz att pll_if_power pa_0 pa_1
73.300 250 -1.478 0.000 0.000
73.350 242 -1.579 0.000 0.000
73.400 225 -1.535 0.000 0.000
73.450 215 -1.556 0.000 0.000
73.500 223 -1.494 0.000 0.000
73.550 231 -1.599 0.000 0.000
73.600 229 -1.505 0.000 0.000
73.650 220 -1.457 0.000 0.000
73.700 217 -1.463 0.000 0.000
73.750 227 -1.573 0.000 0.000
73.800 238 -1.515 0.000 0.000
73.850 239 -1.465 0.000 0.000
73.900 229 -1.455 0.000 0.000
73.950 226 -1.496 0.000 0.000
74.000 236 -1.580 0.000 0.000
74.050 241 -1.503 0.000 0.000
74.100 236 -1.499 0.000 0.000
74.150 224 -1.435 0.000 0.000
74.200 225 -1.489 0.000 0.000
74.250 237 -1.478 0.000 0.000
74.300 244 -1.583 0.000 0.000
74.350 245 -1.492 0.000 0.000
74.400 240 -1.419 0.000 0.000
74.450 239 -1.572 0.000 0.000
74.500 247 -1.594 0.000 0.000
74.550 253 -1.481 0.000 0.000
74.600 244 -1.445 0.000 0.000
74.650 235 -1.492 0.000 0.000
74.700 235 -1.546 0.000 0.000
74.750 250 -1.440 0.000 0.000
74.800 250 -1.600 0.000 0.000
74.850 242 -1.403 0.000 0.000
74.900 226 -1.591 0.000 0.000
74.950 230 -1.484 0.000 0.000
75.000 247 -1.421 0.000 0.000
75.050 247 -1.537 0.000 0.000
75.100 231 -1.546 0.000 0.000
75.150 214 -1.482 0.000 0.000
75.200 217 -1.460 0.000 0.000
75.250 229 -1.444 0.000 0.000
75.300 234 -1.500 0.000 0.000
75.350 225 -1.482 0.000 0.000
75.400 208 -1.443 0.000 0.000
75.450 211 -1.501 0.000 0.000
75.500 223 -1.530 0.000 0.000
75.550 236 -1.447 0.000 0.000
75.600 227 -1.566 0.000 0.000
75.650 219 -1.464 0.000 0.000
75.700 221 -1.571 0.000 0.000
75.750 237 -1.441 0.000 0.000
75.800 247 -1.570 0.000 0.000
75.850 242 -1.472 0.000 0.000
75.900 236 -1.443 0.000 0.000
75.950 231 -1.543 0.000 0.000
76.000 241 -1.597 0.000 0.000
76.050 247 -1.582 0.000 0.000
76.100 244 -1.470 0.000 0.000
76.150 237 -1.402 0.000 0.000
76.200 231 -1.591 0.000 0.000
76.250 241 -1.400 0.000 0.000
76.300 240 -1.466 0.000 0.000
76.350 236 -1.466 0.000 0.000
76.400 233 -1.419 0.000 0.000
76.450 236 -1.499 0.000 0.000
76.500 241 -1.463 0.000 0.000
76.550 239 -1.510 0.000 0.000
76.600 230 -1.528 0.000 0.000
76.650 229 -1.449 0.000 0.000
76.700 235 -1.494 0.000 0.000
76.750 240 -1.492 0.000 0.000
76.800 238 -1.573 0.000 0.000
76.850 228 -1.589 0.000 0.000
76.900 227 -1.506 0.000 0.000
76.950 235 -1.420 0.000 0.000
77.000 243 -1.424 0.000 0.000
77.050 239 -1.553 0.000 0.000
77.100 234 -1.426 0.000 0.000
77.150 228 -1.570 0.000 0.000
77.200 236 -1.516 0.000 0.000
77.250 247 -1.414 0.000 0.000
77.300 245 -1.403 0.000 0.000
77.350 231 -1.453 0.000 0.000
77.400 220 -1.448 0.000 0.000
77.450 219 -1.484 0.000 0.000
77.500 224 -1.563 0.000 0.000
77.550 227 -1.504 0.000 0.000
77.600 217 -1.466 0.000 0.000
77.650 202 -1.571 0.000 0.000
77.700 200 -1.561 0.000 0.000
77.750 202 -1.526 0.000 0.000
77.800 204 -1.596 0.000 0.000
77.850 200 -1.506 0.000 0.000
77.900 190 -1.560 0.000 0.000
77.950 190 -1.476 0.000 0.000
78.000 190 -1.435 0.000 0.000
78.050 189 -1.482 0.000 0.000
78.100 186 -1.555 0.000 0.000
78.150 188 -1.592 0.000 0.000
78.200 194 -1.567 0.000 0.000
78.250 200 -1.571 0.000 0.000
78.300 203 -1.554 0.000 0.000
78.350 207 -1.501 0.000 0.000
78.400 217 -1.476 0.000 0.000
78.450 226 -1.473 0.000 0.000
78.500 232 -1.466 0.000 0.000
78.550 228 -1.499 0.000 0.000
78.600 226 -1.586 0.000 0.000
78.650 228 -1.574 0.000 0.000
78.700 237 -1.550 0.000 0.000
78.750 237 -1.509 0.000 0.000
78.800 232 -1.472 0.000 0.000
78.850 227 -1.558 0.000 0.000
78.900 230 -1.508 0.000 0.000
78.950 242 -1.539 0.000 0.000
79.000 247 -1.549 0.000 0.000
79.050 241 -1.434 0.000 0.000
79.100 228 -1.463 0.000 0.000
79.150 222 -1.487 0.000 0.000
79.200 223 -1.589 0.000 0.000
79.250 229 -1.499 0.000 0.000
79.300 224 -1.443 0.000 0.000
79.350 208 -1.536 0.000 0.000
79.400 202 -1.437 0.000 0.000
79.450 200 -1.467 0.000 0.000
79.500 207 -1.437 0.000 0.000
79.550 201 -1.559 0.000 0.000
79.600 191 -1.510 0.000 0.000
79.650 180 -1.518 0.000 0.000
79.700 178 -1.582 0.000 0.000
79.750 184 -1.510 0.000 0.000
79.800 188 -1.476 0.000 0.000
79.850 182 -1.489 0.000 0.000
79.900 174 -1.495 0.000 0.000
