#lo_ghz att pll_if_power pa_0 pa_1
73.300 233 -1.563 0.000 0.000
73.350 226 -1.484 0.000 0.000
73.400 209 -1.492 0.000 0.000
73.450 199 -1.573 0.000 0.000
73.500 207 -1.421 0.000 0.000
73.550 215 -1.497 0.000 0.000
73.600 210 -1.484 0.000 0.000
73.650 201 -1.501 0.000 0.000
73.700 198 -1.542 0.000 0.000
73.750 208 -1.576 0.000 0.000
73.800 219 -1.537 0.000 0.000
73.850 220 -1.524 0.000 0.000
73.900 210 -1.550 0.000 0.000
73.950 210 -1.509 0.000 0.000
74.000 220 -1.460 0.000 0.000
74.050 222 -1.540 0.000 0.000
74.100 220 -1.438 0.000 0.000
74.150 208 -1.477 0.000 0.000
74.200 209 -1.595 0.000 0.000
74.250 221 -1.500 0.000 0.000
74.300 228 -1.574 0.000 0.000
74.350 229 -1.519 0.000 0.000
74.400 224 -1.538 0.000 0.000
74.450 228 -1.551 0.000 0.000
74.500 234 -1.579 0.000 0.000
74.550 237 -1.515 0.000 0.000
74.600 228 -1.481 0.000 0.000
74.650 221 -1.551 0.000 0.000
74.700 227 -1.409 0.000 0.000
74.750 237 -1.504 0.000 0.000
74.800 237 -1.516 0.000 0.000
74.850 226 -1.514 0.000 0.000
74.900 215 -1.572 0.000 0.000
74.950 219 -1.489 0.000 0.000
75.000 233 -1.467 0.000 0.000
75.050 231 -1.560 0.000 0.000
75.100 215 -1.594 0.000 0.000
75.150 200 -1.543 0.000 0.000
75.200 203 -1.457 0.000 0.000
75.250 213 -1.525 0.000 0.000
75.300 218 -1.579 0.000 0.000
75.350 209 -1.441 0.000 0.000
75.400 192 -1.521 0.000 0.000
75.450 195 -1.516 0.000 0.000
75.500 207 -1.534 0.000 0.000
75.550 220 -1.467 0.000 0.000
75.600 211 -1.586 0.000 0.000
75.650 203 -1.535 0.000 0.000
75.700 205 -1.539 0.000 0.000
75.750 218 -1.581 0.000 0.000
75.800 231 -1.564 0.000 0.000
75.850 226 -1.526 0.000 0.000
75.900 220 -1.490 0.000 0.000
75.950 220 -1.406 0.000 0.000
76.000 230 -1.443 0.000 0.000
76.050 232 -1.599 0.000 0.000
76.100 228 -1.574 0.000 0.000
76.150 221 -1.556 0.000 0.000
76.200 220 -1.472 0.000 0.000
76.250 225 -1.489 0.000 0.000
76.300 226 -1.433 0.000 0.000
76.350 220 -1.546 0.000 0.000
76.400 217 -1.561 0.000 0.000
76.450 225 -1.490 0.000 0.000
76.500 230 -1.461 0.000 0.000
76.550 228 -1.509 0.000 0.000
76.600 219 -1.550 0.000 0.000
76.650 218 -1.493 0.000 0.000
