#lo_ghz att pll_if_power pa_0 pa_1
220.000 223 -1.434 0.000 0.000
220.100 221 -1.457 0.000 0.000
220.200 213 -1.572 0.000 0.000
220.300 207 -1.462 0.000 0.000
220.400 196 -1.563 0.000 0.000
220.500 191 -1.455 0.000 0.000
220.600 188 -1.561 0.000 0.000
220.700 190 -1.445 0.000 0.000
220.800 190 -1.500 0.000 0.000
220.900 194 -1.409 0.000 0.000
221.000 194 -1.443 0.000 0.000
221.100 193 -1.406 0.000 0.000
221.200 192 -1.461 0.000 0.000
221.300 198 -1.462 0.000 0.000
221.400 201 -1.488 0.000 0.000
221.500 206 -1.466 0.000 0.000
221.600 207 -1.465 0.000 0.000
221.700 205 -1.407 0.000 0.000
221.800 197 -1.461 0.000 0.000
221.900 194 -1.598 0.000 0.000
222.000 201 -1.474 0.000 0.000
222.100 217 -1.517 0.000 0.000
222.200 221 -1.550 0.000 0.000
222.300 226 -1.443 0.000 0.000
222.400 222 -1.465 0.000 0.000
222.500 214 -1.595 0.000 0.000
222.600 213 -1.570 0.000 0.000
222.700 215 -1.478 0.000 0.000
222.800 220 -1.468 0.000 0.000
222.900 227 -1.504 0.000 0.000
223.000 234 -1.500 0.000 0.000
223.100 231 -1.561 0.000 0.000
223.200 226 -1.530 0.000 0.000
223.300 223 -1.538 0.000 0.000
223.400 223 -1.509 0.000 0.000
223.500 226 -1.542 0.000 0.000
223.600 234 -1.561 0.000 0.000
223.700 242 -1.547 0.000 0.000
223.800 242 -1.587 0.000 0.000
223.900 238 -1.531 0.000 0.000
224.000 232 -1.479 0.000 0.000
224.100 228 -1.403 0.000 0.000
224.200 226 -1.446 0.000 0.000
224.300 233 -1.411 0.000 0.000
224.400 238 -1.482 0.000 0.000
224.500 242 -1.548 0.000 0.000
224.600 243 -1.415 0.000 0.000
224.700 216 -1.436 0.000 0.000
224.800 209 -1.445 0.000 0.000
224.900 202 -1.557 0.000 0.000
225.000 208 -1.413 0.000 0.000
225.100 214 -1.430 0.000 0.000
225.200 219 -1.433 0.000 0.000
225.300 220 -1.481 0.000 0.000
225.400 213 -1.593 0.000 0.000
225.500 206 -1.536 0.000 0.000
225.600 200 -1.510 0.000 0.000
225.700 197 -1.501 0.000 0.000
225.800 196 -1.572 0.000 0.000
225.900 203 -1.450 0.000 0.000
226.000 206 -1.433 0.000 0.000
226.100 201 -1.552 0.000 0.000
226.200 194 -1.526 0.000 0.000
226.300 186 -1.560 0.000 0.000
226.400 187 -1.401 0.000 0.000
226.500 186 -1.405 0.000 0.000
226.600 187 -1.559 0.000 0.000
226.700 209 -1.551 0.000 0.000
226.800 213 -1.443 0.000 0.000
226.900 210 -1.541 0.000 0.000
227.000 210 -1.554 0.000 0.000
227.100 212 -1.458 0.000 0.000
227.200 215 -1.473 0.000 0.000
227.300 219 -1.599 0.000 0.000
227.400 229 -1.493 0.000 0.000
227.500 231 -1.555 0.000 0.000
227.600 217 -1.454 0.000 0.000
227.700 213 -1.597 0.000 0.000
227.800 212 -1.500 0.000 0.000
227.900 209 -1.549 0.000 0.000
228.000 212 -1.565 0.000 0.000
228.100 221 -1.425 0.000 0.000
228.200 223 -1.474 0.000 0.000
228.300 218 -1.549 0.000 0.000
228.400 213 -1.532 0.000 0.000
228.500 206 -1.578 0.000 0.000
228.600 224 -1.506 0.000 0.000
228.700 226 -1.550 0.000 0.000
228.800 229 -1.526 0.000 0.000
228.900 230 -1.591 0.000 0.000
229.000 234 -1.466 0.000 0.000
229.100 233 -1.435 0.000 0.000
229.200 226 -1.553 0.000 0.000
229.300 224 -1.512 0.000 0.000
229.400 225 -1.537 0.000 0.000
229.500 231 -1.431 0.000 0.000
229.600 211 -1.528 0.000 0.000
229.700 210 -1.509 0.000 0.000
229.800 210 -1.444 0.000 0.000
229.900 204 -1.428 0.000 0.000
230.000 198 -1.573 0.000 0.000
230.100 198 -1.532 0.000 0.000
230.200 201 -1.497 0.000 0.000
230.300 204 -1.456 0.000 0.000
230.400 206 -1.441 0.000 0.000
230.500 204 -1.509 0.000 0.000
230.600 197 -1.537 0.000 0.000
230.700 196 -1.454 0.000 0.000
230.800 195 -1.454 0.000 0.000
230.900 195 -1.512 0.000 0.000
231.000 202 -1.427 0.000 0.000
231.100 206 -1.586 0.000 0.000
231.200 215 -1.464 0.000 0.000
231.300 213 -1.567 0.000 0.000
231.400 215 -1.432 0.000 0.000
231.500 211 -1.554 0.000 0.000
231.600 209 -1.578 0.000 0.000
231.700 228 -1.544 0.000 0.000
231.800 231 -1.526 0.000 0.000
231.900 234 -1.475 0.000 0.000
232.000 233 -1.440 0.000 0.000
232.100 229 -1.445 0.000 0.000
232.200 222 -1.467 0.000 0.000
232.300 216 -1.470 0.000 0.000
232.400 214 -1.455 0.000 0.000
232.500 215 -1.426 0.000 0.000
232.600 214 -1.500 0.000 0.000
232.700 215 -1.431 0.000 0.000
232.800 198 -1.491 0.000 0.000
232.900 191 -1.436 0.000 0.000
233.000 187 -1.441 0.000 0.000
