#lo_ghz att pll_if_power pa_0 pa_1
283.000 173 -1.432 0.000 0.000
283.100 175 -1.551 0.000 0.000
283.200 175 -1.503 0.000 0.000
283.300 168 -1.506 0.000 0.000
283.400 161 -1.552 0.000 0.000
283.500 154 -1.567 0.000 0.000
283.600 150 -1.478 0.000 0.000
283.700 151 -1.505 0.000 0.000
283.800 155 -1.451 0.000 0.000
283.900 158 -1.480 0.000 0.000
284.000 159 -1.577 0.000 0.000
284.100 157 -1.520 0.000 0.000
284.200 146 -1.600 0.000 0.000
284.300 142 -1.575 0.000 0.000
284.400 139 -1.599 0.000 0.000
284.500 140 -1.585 0.000 0.000
284.600 143 -1.442 0.000 0.000
284.700 146 -1.551 0.000 0.000
284.800 144 -1.511 0.000 0.000
284.900 139 -1.448 0.000 0.000
285.000 138 -1.486 0.000 0.000
285.100 133 -1.519 0.000 0.000
285.200 134 -1.410 0.000 0.000
285.300 133 -1.544 0.000 0.000
285.400 140 -1.550 0.000 0.000
285.500 143 -1.444 0.000 0.000
285.600 138 -1.539 0.000 0.000
285.700 136 -1.435 0.000 0.000
285.800 131 -1.558 0.000 0.000
285.900 129 -1.511 0.000 0.000
286.000 134 -1.413 0.000 0.000
286.100 142 -1.450 0.000 0.000
286.200 144 -1.501 0.000 0.000
286.300 147 -1.549 0.000 0.000
286.400 145 -1.427 0.000 0.000
286.500 143 -1.525 0.000 0.000
286.600 145 -1.569 0.000 0.000
286.700 146 -1.460 0.000 0.000
286.800 145 -1.479 0.000 0.000
286.900 149 -1.566 0.000 0.000
287.000 151 -1.585 0.000 0.000
287.100 157 -1.543 0.000 0.000
287.200 158 -1.404 0.000 0.000
287.300 157 -1.468 0.000 0.000
287.400 157 -1.512 0.000 0.000
287.500 163 -1.548 0.000 0.000
287.600 159 -1.434 0.000 0.000
287.700 159 -1.426 0.000 0.000
287.800 159 -1.528 0.000 0.000
287.900 159 -1.563 0.000 0.000
288.000 160 -1.524 0.000 0.000
288.100 161 -1.400 0.000 0.000
288.200 170 -1.559 0.000 0.000
288.300 172 -1.557 0.000 0.000
288.400 171 -1.526 0.000 0.000
288.500 171 -1.410 0.000 0.000
288.600 159 -1.437 0.000 0.000
288.700 159 -1.525 0.000 0.000
288.800 163 -1.561 0.000 0.000
288.900 157 -1.462 0.000 0.000
289.000 158 -1.499 0.000 0.000
289.100 165 -1.442 0.000 0.000
289.200 157 -1.491 0.000 0.000
289.300 149 -1.432 0.000 0.000
289.400 147 -1.408 0.000 0.000
289.500 146 -1.552 0.000 0.000
289.600 139 -1.539 0.000 0.000
289.700 141 -1.599 0.000 0.000
289.800 148 -1.481 0.000 0.000
289.900 146 -1.497 0.000 0.000
290.000 137 -1.437 0.000 0.000
290.100 129 -1.444 0.000 0.000
290.200 128 -1.486 0.000 0.000
290.300 127 -1.418 0.000 0.000
290.400 127 -1.523 0.000 0.000
290.500 138 -1.496 0.000 0.000
290.600 142 -1.589 0.000 0.000
290.700 142 -1.511 0.000 0.000
290.800 135 -1.482 0.000 0.000
290.900 131 -1.546 0.000 0.000
291.000 125 -1.539 0.000 0.000
291.100 126 -1.584 0.000 0.000
291.200 138 -1.517 0.000 0.000
291.300 143 -1.528 0.000 0.000
291.400 147 -1.594 0.000 0.000
291.500 152 -1.530 0.000 0.000
291.600 148 -1.600 0.000 0.000
291.700 140 -1.501 0.000 0.000
291.800 139 -1.556 0.000 0.000
291.900 143 -1.408 0.000 0.000
292.000 143 -1.559 0.000 0.000
292.100 154 -1.592 0.000 0.000
292.200 155 -1.567 0.000 0.000
292.300 148 -1.520 0.000 0.000
292.400 147 -1.430 0.000 0.000
292.500 146 -1.427 0.000 0.000
292.600 144 -1.438 0.000 0.000
292.700 146 -1.537 0.000 0.000
292.800 151 -1.435 0.000 0.000
292.900 153 -1.542 0.000 0.000
293.000 151 -1.490 0.000 0.000
293.100 151 -1.559 0.000 0.000
293.200 150 -1.401 0.000 0.000
293.300 142 -1.443 0.000 0.000
293.400 143 -1.442 0.000 0.000
293.500 153 -1.459 0.000 0.000
293.600 151 -1.507 0.000 0.000
293.700 152 -1.511 0.000 0.000
293.800 150 -1.409 0.000 0.000
293.900 145 -1.483 0.000 0.000
294.000 137 -1.476 0.000 0.000
294.100 139 -1.583 0.000 0.000
294.200 145 -1.424 0.000 0.000
294.300 147 -1.504 0.000 0.000
294.400 145 -1.504 0.000 0.000
294.500 151 -1.545 0.000 0.000
294.600 147 -1.564 0.000 0.000
294.700 141 -1.589 0.000 0.000
294.800 139 -1.422 0.000 0.000
294.900 143 -1.447 0.000 0.000
295.000 145 -1.412 0.000 0.000
295.100 144 -1.534 0.000 0.000
295.200 141 -1.563 0.000 0.000
295.300 138 -1.431 0.000 0.000
295.400 128 -1.523 0.000 0.000
295.500 132 -1.545 0.000 0.000
295.600 134 -1.551 0.000 0.000
295.700 134 -1.523 0.000 0.000
295.800 138 -1.596 0.000 0.000
295.900 140 -1.505 0.000 0.000
296.000 130 -1.579 0.000 0.000
296.100 117 -1.540 0.000 0.000
296.200 116 -1.482 0.000 0.000
296.300 116 -1.580 0.000 0.000
296.400 115 -1.529 0.000 0.000
296.500 122 -1.599 0.000 0.000
296.600 131 -1.557 0.000 0.000
296.700 124 -1.572 0.000 0.000
296.800 121 -1.409 0.000 0.000
296.900 116 -1.478 0.000 0.000
297.000 115 -1.550 0.000 0.000
297.100 120 -1.488 0.000 0.000
297.200 125 -1.486 0.000 0.000
297.300 134 -1.456 0.000 0.000
297.400 133 -1.472 0.000 0.000
297.500 136 -1.526 0.000 0.000
297.600 133 -1.412 0.000 0.000
297.700 128 -1.470 0.000 0.000
297.800 134 -1.461 0.000 0.000
297.900 144 -1.550 0.000 0.000
298.000 148 -1.493 0.000 0.000
298.100 144 -1.416 0.000 0.000
298.200 143 -1.460 0.000 0.000
298.300 147 -1.407 0.000 0.000
298.400 140 -1.558 0.000 0.000
298.500 144 -1.525 0.000 0.000
298.600 152 -1.560 0.000 0.000
298.700 153 -1.456 0.000 0.000
298.800 153 -1.466 0.000 0.000
298.900 156 -1.516 0.000 0.000
299.000 154 -1.452 0.000 0.000
299.100 147 -1.547 0.000 0.000
299.200 156 -1.419 0.000 0.000
299.300 158 -1.466 0.000 0.000
299.400 151 -1.570 0.000 0.000
299.500 152 -1.552 0.000 0.000
299.600 157 -1.406 0.000 0.000
299.700 150 -1.446 0.000 0.000
299.800 148 -1.555 0.000 0.000
299.900 149 -1.542 0.000 0.000
300.000 158 -1.575 0.000 0.000
300.100 158 -1.554 0.000 0.000
300.200 160 -1.490 0.000 0.000
300.300 157 -1.411 0.000 0.000
300.400 154 -1.433 0.000 0.000
300.500 143 -1.506 0.000 0.000
300.600 149 -1.405 0.000 0.000
300.700 147 -1.506 0.000 0.000
300.800 152 -1.541 0.000 0.000
300.900 160 -1.468 0.000 0.000
301.000 156 -1.532 0.000 0.000
301.100 147 -1.477 0.000 0.000
301.200 144 -1.536 0.000 0.000
301.300 139 -1.598 0.000 0.000
301.400 138 -1.517 0.000 0.000
301.500 145 -1.416 0.000 0.000
301.600 154 -1.507 0.000 0.000
301.700 158 -1.427 0.000 0.000
301.800 155 -1.464 0.000 0.000
301.900 147 -1.532 0.000 0.000
302.000 140 -1.494 0.000 0.000
302.100 140 -1.465 0.000 0.000
302.200 136 -1.592 0.000 0.000
302.300 141 -1.512 0.000 0.000
302.400 144 -1.457 0.000 0.000
302.500 147 -1.495 0.000 0.000
302.600 144 -1.418 0.000 0.000
302.700 129 -1.574 0.000 0.000
302.800 127 -1.561 0.000 0.000
302.900 126 -1.591 0.000 0.000
303.000 131 -1.405 0.000 0.000
303.100 132 -1.533 0.000 0.000
