#lo_ghz att pll_if_power pa_0 pa_1
220.000 255 -1.575 0.000 0.000
220.100 255 -1.456 0.000 0.000
220.200 250 -1.436 0.000 0.000
220.300 239 -1.491 0.000 0.000
220.400 228 -1.588 0.000 0.000
220.500 225 -1.539 0.000 0.000
220.600 225 -1.590 0.000 0.000
220.700 227 -1.526 0.000 0.000
220.800 227 -1.578 0.000 0.000
220.900 228 -1.592 0.000 0.000
221.000 226 -1.536 0.000 0.000
221.100 225 -1.530 0.000 0.000
221.200 230 -1.436 0.000 0.000
221.300 235 -1.490 0.000 0.000
221.400 238 -1.598 0.000 0.000
221.500 243 -1.557 0.000 0.000
221.600 244 -1.580 0.000 0.000
221.700 237 -1.567 0.000 0.000
221.800 234 -1.490 0.000 0.000
221.900 234 -1.584 0.000 0.000
222.000 241 -1.517 0.000 0.000
222.100 246 -1.456 0.000 0.000
222.200 250 -1.533 0.000 0.000
222.300 250 -1.576 0.000 0.000
222.400 243 -1.495 0.000 0.000
222.500 235 -1.456 0.000 0.000
222.600 234 -1.482 0.000 0.000
222.700 236 -1.498 0.000 0.000
222.800 241 -1.550 0.000 0.000
222.900 251 -1.540 0.000 0.000
223.000 255 -1.545 0.000 0.000
223.100 255 -1.517 0.000 0.000
223.200 247 -1.591 0.000 0.000
223.300 247 -1.478 0.000 0.000
223.400 247 -1.468 0.000 0.000
223.500 250 -1.525 0.000 0.000
223.600 255 -1.547 0.000 0.000
223.700 255 -1.534 0.000 0.000
223.800 255 -1.599 0.000 0.000
223.900 254 -1.541 0.000 0.000
224.000 250 -1.463 0.000 0.000
224.100 244 -1.522 0.000 0.000
224.200 244 -1.541 0.000 0.000
224.300 249 -1.559 0.000 0.000
224.400 254 -1.581 0.000 0.000
224.500 255 -1.526 0.000 0.000
224.600 251 -1.599 0.000 0.000
224.700 242 -1.583 0.000 0.000
224.800 235 -1.590 0.000 0.000
224.900 234 -1.585 0.000 0.000
225.000 240 -1.510 0.000 0.000
