#lo_ghz att pll_if_power pa_0 pa_1
283.000 192 -1.436 0.000 0.000
283.100 197 -1.411 0.000 0.000
283.200 197 -1.584 0.000 0.000
283.300 190 -1.437 0.000 0.000
283.400 183 -1.516 0.000 0.000
283.500 178 -1.553 0.000 0.000
283.600 172 -1.487 0.000 0.000
283.700 173 -1.559 0.000 0.000
283.800 174 -1.531 0.000 0.000
283.900 178 -1.528 0.000 0.000
284.000 177 -1.512 0.000 0.000
284.100 176 -1.410 0.000 0.000
284.200 169 -1.543 0.000 0.000
284.300 166 -1.420 0.000 0.000
284.400 163 -1.427 0.000 0.000
284.500 159 -1.528 0.000 0.000
284.600 164 -1.600 0.000 0.000
284.700 165 -1.596 0.000 0.000
284.800 163 -1.533 0.000 0.000
284.900 163 -1.431 0.000 0.000
285.000 157 -1.581 0.000 0.000
285.100 157 -1.553 0.000 0.000
285.200 158 -1.441 0.000 0.000
285.300 157 -1.549 0.000 0.000
285.400 166 -1.546 0.000 0.000
285.500 167 -1.556 0.000 0.000
285.600 161 -1.477 0.000 0.000
285.700 158 -1.410 0.000 0.000
285.800 155 -1.567 0.000 0.000
285.900 158 -1.414 0.000 0.000
286.000 158 -1.429 0.000 0.000
286.100 165 -1.467 0.000 0.000
286.200 171 -1.420 0.000 0.000
286.300 171 -1.434 0.000 0.000
286.400 169 -1.432 0.000 0.000
286.500 167 -1.421 0.000 0.000
286.600 169 -1.433 0.000 0.000
286.700 165 -1.580 0.000 0.000
286.800 169 -1.596 0.000 0.000
286.900 176 -1.512 0.000 0.000
287.000 184 -1.448 0.000 0.000
287.100 181 -1.583 0.000 0.000
287.200 185 -1.431 0.000 0.000
287.300 183 -1.519 0.000 0.000
287.400 187 -1.516 0.000 0.000
287.500 189 -1.454 0.000 0.000
287.600 189 -1.563 0.000 0.000
287.700 183 -1.584 0.000 0.000
287.800 187 -1.533 0.000 0.000
287.900 183 -1.487 0.000 0.000
288.000 184 -1.499 0.000 0.000
288.100 185 -1.426 0.000 0.000
288.200 189 -1.446 0.000 0.000
288.300 194 -1.423 0.000 0.000
288.400 195 -1.596 0.000 0.000
288.500 187 -1.574 0.000 0.000
288.600 186 -1.493 0.000 0.000
288.700 183 -1.563 0.000 0.000
288.800 187 -1.415 0.000 0.000
288.900 182 -1.539 0.000 0.000
289.000 184 -1.550 0.000 0.000
289.100 189 -1.515 0.000 0.000
289.200 182 -1.485 0.000 0.000
289.300 173 -1.447 0.000 0.000
289.400 171 -1.510 0.000 0.000
289.500 168 -1.533 0.000 0.000
289.600 163 -1.434 0.000 0.000
289.700 163 -1.458 0.000 0.000
289.800 164 -1.507 0.000 0.000
289.900 162 -1.541 0.000 0.000
290.000 153 -1.588 0.000 0.000
290.100 151 -1.438 0.000 0.000
290.200 146 -1.416 0.000 0.000
290.300 146 -1.510 0.000 0.000
290.400 149 -1.501 0.000 0.000
290.500 159 -1.429 0.000 0.000
290.600 161 -1.443 0.000 0.000
290.700 164 -1.400 0.000 0.000
290.800 154 -1.514 0.000 0.000
290.900 150 -1.586 0.000 0.000
291.000 144 -1.525 0.000 0.000
291.100 145 -1.478 0.000 0.000
291.200 157 -1.405 0.000 0.000
291.300 167 -1.566 0.000 0.000
291.400 171 -1.436 0.000 0.000
291.500 176 -1.417 0.000 0.000
291.600 167 -1.596 0.000 0.000
291.700 156 -1.562 0.000 0.000
291.800 157 -1.414 0.000 0.000
291.900 160 -1.423 0.000 0.000
292.000 167 -1.457 0.000 0.000
292.100 178 -1.495 0.000 0.000
292.200 179 -1.435 0.000 0.000
292.300 176 -1.511 0.000 0.000
292.400 171 -1.406 0.000 0.000
292.500 170 -1.581 0.000 0.000
292.600 169 -1.534 0.000 0.000
292.700 171 -1.401 0.000 0.000
292.800 175 -1.600 0.000 0.000
292.900 186 -1.414 0.000 0.000
293.000 181 -1.494 0.000 0.000
293.100 175 -1.417 0.000 0.000
293.200 169 -1.550 0.000 0.000
293.300 166 -1.470 0.000 0.000
293.400 162 -1.562 0.000 0.000
293.500 177 -1.497 0.000 0.000
293.600 178 -1.566 0.000 0.000
293.700 179 -1.570 0.000 0.000
293.800 174 -1.582 0.000 0.000
293.900 173 -1.531 0.000 0.000
294.000 167 -1.440 0.000 0.000
294.100 163 -1.566 0.000 0.000
294.200 175 -1.509 0.000 0.000
294.300 176 -1.591 0.000 0.000
294.400 177 -1.581 0.000 0.000
294.500 178 -1.506 0.000 0.000
294.600 171 -1.597 0.000 0.000
294.700 167 -1.411 0.000 0.000
294.800 166 -1.432 0.000 0.000
294.900 169 -1.470 0.000 0.000
295.000 172 -1.445 0.000 0.000
295.100 168 -1.469 0.000 0.000
295.200 168 -1.541 0.000 0.000
295.300 162 -1.544 0.000 0.000
295.400 152 -1.552 0.000 0.000
295.500 156 -1.431 0.000 0.000
295.600 158 -1.449 0.000 0.000
295.700 158 -1.456 0.000 0.000
295.800 162 -1.428 0.000 0.000
295.900 164 -1.488 0.000 0.000
296.000 154 -1.495 0.000 0.000
296.100 144 -1.421 0.000 0.000
296.200 142 -1.427 0.000 0.000
296.300 141 -1.454 0.000 0.000
296.400 139 -1.517 0.000 0.000
296.500 146 -1.503 0.000 0.000
