#lo_ghz att pll_if_power pa_0 pa_1
283.000 155 -1.435 0.000 0.000
283.100 165 -1.490 0.000 0.000
283.200 159 -1.680 0.000 0.000
283.300 158 -1.576 0.000 0.000
283.400 151 -1.544 0.000 0.000
283.500 149 -1.463 0.000 0.000
283.600 143 -1.429 0.000 0.000
283.700 141 -1.458 0.000 0.000
283.800 145 -1.408 0.000 0.000
283.900 146 -1.491 0.000 0.000
284.000 147 -1.581 0.000 0.000
284.100 145 -1.427 0.000 0.000
284.200 137 -1.502 0.000 0.000
284.300 134 -1.469 0.000 0.000
284.400 131 -1.566 0.000 0.000
284.500 135 -1.400 0.000 0.000
284.600 132 -1.549 0.000 0.000
284.700 135 -1.494 0.000 0.000
284.800 134 -1.429 0.000 0.000
284.900 132 -1.463 0.000 0.000
285.000 125 -1.536 0.000 0.000
285.100 123 -1.598 0.000 0.000
285.200 127 -1.543 0.000 0.000
285.300 128 -1.560 0.000 0.000
285.400 134 -1.507 0.000 0.000
285.500 134 -1.521 0.000 0.000
285.600 129 -1.485 0.000 0.000
285.700 124 -1.404 0.000 0.000
285.800 125 -1.431 0.000 0.000
285.900 126 -1.463 0.000 0.000
286.000 124 -1.413 0.000 0.000
286.100 128 -1.481 0.000 0.000
286.200 134 -1.593 0.000 0.000
286.300 139 -1.426 0.000 0.000
286.400 137 -1.476 0.000 0.000
286.500 130 -1.550 0.000 0.000
286.600 132 -1.446 0.000 0.000
286.700 135 -1.473 0.000 0.000
286.800 140 -1.422 0.000 0.000
286.900 142 -1.461 0.000 0.000
287.000 147 -1.581 0.000 0.000
287.100 149 -1.452 0.000 0.000
287.200 148 -1.464 0.000 0.000
287.300 151 -1.447 0.000 0.000
287.400 150 -1.597 0.000 0.000
287.500 149 -1.584 0.000 0.000
287.600 154 -1.524 0.000 0.000
287.700 151 -1.485 0.000 0.000
287.800 150 -1.489 0.000 0.000
287.900 149 -1.472 0.000 0.000
288.000 147 -1.508 0.000 0.000
288.100 148 -1.581 0.000 0.000
288.200 155 -1.529 0.000 0.000
288.300 154 -1.513 0.000 0.000
288.400 158 -1.411 0.000 0.000
288.500 157 -1.571 0.000 0.000
288.600 154 -1.582 0.000 0.000
288.700 149 -1.414 0.000 0.000
288.800 155 -1.418 0.000 0.000
288.900 148 -1.589 0.000 0.000
289.000 147 -1.518 0.000 0.000
289.100 152 -1.536 0.000 0.000
289.200 153 -1.444 0.000 0.000
289.300 144 -1.525 0.000 0.000
289.400 137 -1.550 0.000 0.000
289.500 136 -1.514 0.000 0.000
289.600 134 -1.535 0.000 0.000
289.700 131 -1.524 0.000 0.000
289.800 132 -1.506 0.000 0.000
289.900 135 -1.497 0.000 0.000
290.000 129 -1.531 0.000 0.000
290.100 119 -1.514 0.000 0.000
290.200 116 -1.597 0.000 0.000
290.300 114 -1.425 0.000 0.000
290.400 112 -1.570 0.000 0.000
290.500 122 -1.487 0.000 0.000
290.600 129 -1.528 0.000 0.000
290.700 124 -1.536 0.000 0.000
290.800 122 -1.455 0.000 0.000
290.900 118 -1.494 0.000 0.000
291.000 112 -1.431 0.000 0.000
291.100 111 -1.463 0.000 0.000
