#lo_ghz att pll_if_power pa_0 pa_1
236.700 209 -1.518 1.842 2.497
236.800 213 -1.527 1.866 2.494
236.900 220 -1.532 1.988 2.497
237.000 224 -1.535 1.973 2.500
237.100 223 -1.540 1.950 2.266
237.200 218 -1.590 1.888 2.120
237.300 210 -1.437 1.825 2.292
237.400 203 -1.505 1.821 2.494
237.500 202 -1.597 1.837 2.483
237.600 203 -1.518 1.852 2.482
237.700 207 -1.501 1.983 2.484
237.800 210 -1.542 2.114 2.496
237.900 206 -1.503 2.099 2.498
238.000 196 -1.503 2.055 2.500
238.100 186 -1.523 1.997 2.498
238.200 179 -1.532 1.919 2.496
238.300 173 -1.501 1.857 2.494
238.400 175 -1.513 1.863 2.491
238.500 179 -1.510 2.021 2.492
238.600 180 -1.503 2.492 2.493
238.700 178 -1.518 2.261 2.492
238.800 172 -1.509 2.147 2.491
238.900 162 -1.503 2.132 2.495
239.000 156 -1.509 2.116 2.499
239.100 155 -1.536 2.032 2.495
239.200 158 -1.534 1.977 2.491
239.300 163 -1.544 1.908 2.492
239.400 166 -1.527 1.996 2.493
239.500 165 -1.539 2.094 2.492
239.600 161 -1.504 1.977 2.491
239.700 157 -1.522 1.959 2.493
239.800 158 -1.508 1.990 2.289
239.900 163 -1.506 1.981 2.242
240.000 168 -1.518 1.933 2.420
240.100 175 -1.526 1.844 2.483
240.200 179 -1.525 1.745 2.487
240.300 178 -1.489 1.814 2.491
240.700 182 -1.495 1.620 2.022
240.800 187 -1.510 1.605 2.102
240.900 188 -1.546 1.589 2.477
241.000 188 -1.509 1.593 2.498
241.100 188 -1.539 1.733 2.499
241.200 187 -1.510 2.039 2.500
241.300 185 -1.519 1.875 2.486
241.400 185 -1.548 1.702 2.491
241.500 186 -1.550 1.664 2.358
241.600 185 -1.515 1.704 2.499
241.700 183 -1.451 1.703 2.476
241.800 181 -1.476 1.722 2.492
241.900 180 -1.572 1.848 2.498
242.000 182 -1.533 2.406 2.495
242.100 185 -1.559 2.239 2.497
242.200 189 -1.508 1.866 2.500
242.300 191 -1.536 1.842 2.493
242.400 189 -1.514 1.847 2.496
242.500 187 -1.507 1.878 2.497
242.600 183 -1.562 1.879 2.498
242.700 183 -1.511 1.888 2.498
242.800 184 -1.555 2.014 2.499
242.900 189 -1.524 2.233 2.495
243.000 190 -1.529 1.962 2.491
243.100 191 -1.518 1.843 2.486
243.200 186 -1.532 1.880 2.500
243.300 181 -1.540 1.952 2.484
243.400 176 -1.560 2.004 2.499
243.500 176 -1.525 2.031 2.493
243.600 179 -1.520 2.067 2.498
243.700 184 -1.547 2.230 2.498
243.800 190 -1.541 2.334 2.497
243.900 192 -1.534 1.963 2.499
244.000 190 -1.519 1.750 2.482
244.100 186 -1.507 1.722 2.479
244.200 186 -1.500 1.792 2.496
244.300 187 -1.523 1.863 2.420
244.400 193 -1.505 1.923 2.393
244.500 201 -1.505 2.072 2.494
244.600 204 -1.532 2.496 2.486
244.700 201 -1.539 2.375 2.498
244.800 193 -1.508 1.842 2.491
244.900 187 -1.506 1.624 2.380
245.000 185 -1.519 1.591 2.230
245.100 189 -1.525 1.642 2.223
245.200 198 -1.522 1.722 2.402
245.300 204 -1.501 1.876 2.492
245.400 203 -1.500 2.197 2.495
245.500 195 -1.537 2.497 2.497
245.600 186 -1.519 1.975 2.499
245.700 178 -1.508 1.663 2.492
245.800 177 -1.514 1.537 2.474
245.900 181 -1.503 1.555 2.386
246.000 187 -1.505 1.652 2.493
246.100 189 -1.527 1.739 2.478
246.200 186 -1.530 1.757 2.493
246.300 178 -1.503 1.810 2.493
246.400 171 -1.521 1.941 2.493
246.500 164 -1.506 1.839 2.495
246.600 170 -1.501 1.659 2.498
246.700 173 -1.505 1.662 2.498
246.800 173 -1.507 1.724 2.497
246.900 173 -1.498 1.752 2.496
247.000 166 -1.519 1.838 2.495
247.100 161 -1.522 1.924 2.495
247.200 158 -1.496 2.011 2.494
247.300 161 -1.474 2.136 2.494
247.400 166 -1.501 1.801 2.494
247.500 174 -1.452 1.570 2.494
247.600 175 -1.530 1.534 2.494
247.700 171 -1.543 1.665 2.494
247.800 164 -1.559 1.854 2.493
247.900 160 -1.511 2.034 2.493
248.000 161 -1.464 2.145 2.493
248.100 166 -1.509 2.324 2.493
248.200 179 -1.544 2.082 2.493
248.300 187 -1.501 1.771 2.494
248.400 188 -1.562 1.568 2.494
248.500 183 -1.534 1.472 2.499
248.600 177 -1.428 1.522 2.484
248.700 172 -1.556 1.660 2.497
248.800 175 -1.519 1.857 2.491
248.900 184 -1.523 2.107 2.494
249.000 192 -1.500 2.269 2.498
249.100 198 -1.514 1.935 2.493
249.200 196 -1.504 1.640 2.498
249.300 189 -1.521 1.478 2.356
249.400 180 -1.512 1.394 2.234
249.500 178 -1.606 1.451 2.331
249.600 184 -1.507 1.606 2.496
249.700 190 -1.529 1.804 2.485
249.800 198 -1.501 1.934 2.493
249.900 199 -1.507 1.755 2.496
250.000 193 -1.596 1.654 2.499
250.100 184 -1.553 1.581 2.425
250.200 176 -1.516 1.450 2.214
250.300 176 -1.575 1.427 2.213
250.400 182 -1.514 1.443 2.281
250.500 192 -1.505 1.602 2.493
250.600 198 -1.539 1.800 2.499
250.700 198 -1.542 1.902 2.487
250.800 191 -1.489 1.856 2.495
250.900 180 -1.552 1.648 2.493
251.000 176 -1.528 1.519 2.492
251.100 177 -1.510 1.471 2.495
251.200 181 -1.503 1.530 2.497
251.300 186 -1.515 1.686 2.495
251.400 186 -1.517 1.902 2.493
251.500 180 -1.511 2.188 2.490
251.600 170 -1.542 2.297 2.497
251.700 163 -1.520 2.009 2.491
251.800 160 -1.541 1.830 2.495
251.900 162 -1.518 1.753 2.495
252.000 165 -1.531 1.755 2.494
252.100 165 -1.504 1.809 2.494
252.200 163 -1.506 1.892 2.494
252.300 158 -1.517 2.106 2.494
252.400 156 -1.519 2.497 2.494
252.500 159 -1.471 2.498 2.495
252.600 163 -1.486 2.225 2.496
252.700 166 -1.520 1.984 2.488
252.800 169 -1.522 1.918 2.344
252.900 167 -1.504 1.892 2.287
253.000 164 -1.525 1.924 2.318
253.100 163 -1.512 2.032 2.481
253.200 166 -1.557 2.002 2.496
253.300 173 -1.536 2.114 2.496
253.400 179 -1.530 2.217 2.497
253.500 182 -1.516 1.992 2.493
253.600 183 -1.505 1.903 2.450
253.700 180 -1.513 1.839 2.142
253.800 177 -1.588 1.775 1.951
253.900 179 -1.519 1.794 1.995
254.000 184 -1.567 1.882 2.148
254.100 191 -1.509 1.946 2.293
254.200 194 -1.566 1.950 2.262
254.300 193 -1.541 1.783 2.290
254.400 187 -1.589 1.724 2.386
254.500 184 -1.535 1.748 2.238
254.600 183 -1.490 1.791 2.001
254.700 188 -1.532 1.793 1.848
254.800 196 -1.542 1.796 1.901
254.900 202 -1.565 1.827 2.081
255.000 206 -1.407 1.957 2.104
255.100 199 -1.522 2.027 2.114
255.200 192 -1.523 1.724 2.252
255.300 185 -1.550 1.602 2.317
255.400 183 -1.535 1.607 2.234
255.500 187 -1.599 1.672 2.057
255.600 195 -1.514 1.787 1.950
255.700 200 -1.503 1.858 1.970
255.800 199 -1.532 1.851 2.069
255.900 192 -1.503 1.932 2.187
256.000 181 -1.555 1.837 2.247
256.100 174 -1.531 1.673 2.467
256.200 173 -1.569 1.656 2.491
256.300 176 -1.512 1.693 2.451
256.400 181 -1.528 1.740 2.284
256.500 183 -1.554 1.809 2.216
256.600 181 -1.487 1.887 2.226
256.700 175 -1.463 1.883 2.307
256.800 168 -1.533 1.899 2.318
256.900 165 -1.587 1.862 2.334
257.000 168 -1.513 1.785 2.497
257.100 170 -1.513 1.818 2.426
257.200 173 -1.606 1.861 2.159
257.300 173 -1.557 1.913 2.093
257.400 171 -1.518 2.024 2.125
257.500 167 -1.541 2.127 2.181
257.600 166 -1.527 2.152 2.207
257.700 170 -1.520 2.135 2.186
257.800 176 -1.532 1.902 2.124
257.900 180 -1.553 1.787 2.171
258.000 179 -1.522 1.848 2.099
258.100 176 -1.570 1.960 1.988
258.200 171 -1.483 2.081 1.975
258.300 167 -1.568 2.076 1.966
258.400 166 -1.534 2.070 2.055
258.500 169 -1.530 2.187 2.155
258.600 168 -1.584 2.214 2.128
258.700 168 -1.531 1.850 2.124
258.800 163 -1.515 1.632 2.130
258.900 158 -1.521 1.561 2.063
259.000 155 -1.502 1.646 1.975
259.100 158 -1.533 1.736 1.839
259.200 161 -1.501 1.797 1.790
259.300 164 -1.502 1.785 1.889
259.400 162 -1.529 1.822 1.968
259.500 157 -1.545 1.863 1.989
259.600 154 -1.448 1.688 2.050
259.700 152 -1.549 1.531 2.104
259.800 157 -1.535 1.443 2.049
259.900 161 -1.542 1.468 1.966
260.000 166 -1.560 1.590 1.873
260.100 166 -1.528 1.734 1.834
260.200 160 -1.536 1.780 1.903
260.300 150 -1.506 1.840 2.042
260.400 144 -1.502 1.841 2.015
260.500 141 -1.523 1.838 2.050
260.600 140 -1.526 1.815 2.164
260.700 140 -1.557 1.761 2.181
260.800 139 -1.532 1.786 2.160
260.900 132 -1.518 1.870 2.060
261.000 124 -1.514 1.934 2.038
261.100 117 -1.537 2.106 2.105
261.200 118 -1.525 2.288 2.014
261.300 127 -1.535 2.185 1.924
261.400 142 -1.535 1.965 1.952
261.500 157 -1.451 1.892 2.057
261.600 164 -1.528 1.887 2.134
261.700 164 -1.555 1.900 2.155
261.800 164 -1.524 1.883 2.148
261.900 163 -1.573 1.906 2.179
262.000 168 -1.528 2.065 2.171
262.100 174 -1.548 2.118 2.122
262.200 180 -1.532 2.062 1.984
262.300 184 -1.508 1.952 1.920
262.400 180 -1.506 1.832 1.944
262.500 171 -1.513 1.781 2.018
262.600 164 -1.454 1.770 2.034
262.700 156 -1.582 1.792 2.076
262.800 154 -1.535 1.775 2.187
262.900 153 -1.526 1.896 2.328
263.000 152 -1.536 2.174 2.243
263.100 147 -1.559 2.186 2.100
263.200 137 -1.523 2.080 2.015
263.300 125 -1.503 1.949 1.986
263.400 115 -1.511 1.829 1.936
263.500 116 -1.515 1.807 1.869
263.600 127 -1.514 1.834 1.940
263.700 140 -1.484 1.919 2.137
263.800 148 -1.504 1.956 2.139
263.900 150 -1.514 2.046 2.050
264.000 143 -1.527 2.125 1.991
264.100 137 -1.552 2.088 1.928
264.200 137 -1.503 1.962 1.904
264.300 138 -1.503 1.874 1.884
264.400 138 -1.511 1.834 1.875
264.500 137 -1.467 1.746 1.973
264.600 128 -1.518 1.756 2.002
264.650 118 -1.490 1.864 2.012
264.700 108 -1.483 1.981 1.992
264.750  93 -1.525 2.050 1.953
264.800  69 -1.513 2.050 1.924
264.810  60 -1.505 2.040 1.914
264.820  49 -1.505 2.021 1.914
264.830  27 -1.508 2.011 1.904
264.840   0 -1.444 1.991 1.904
264.850   0 -1.393 1.981 1.894
264.900   0 -1.115 1.942 1.884
264.950   0 -0.930 1.923 1.865
265.000   0 -0.808 1.883 1.875

